Survived,Pclass,Age,Fare,FamilySize,Sex_male,Embarked_Q,Embarked_S
0,3,22.0,3.625,2,True,False,True
1,1,38.0,35.64165,2,False,False,False
1,3,26.0,7.925,1,False,False,True
1,1,35.0,26.55,2,False,False,True
0,3,35.0,8.05,1,True,False,True
0,1,54.0,51.8625,1,True,False,True
0,3,2.0,4.215,5,True,False,True
1,3,27.0,3.7111,3,False,False,True
1,2,14.0,15.0354,2,False,False,False
1,3,4.0,5.566666666666666,3,False,False,True
1,1,58.0,26.55,1,False,False,True
0,3,20.0,8.05,1,True,False,True
0,3,39.0,4.4678571428571425,7,True,False,True
0,3,14.0,7.8542,1,False,False,True
1,2,55.0,16.0,1,False,False,True
0,3,2.0,4.854166666666667,6,True,True,False
0,3,31.0,9.0,2,False,False,True
0,2,35.0,26.0,1,True,False,True
1,2,34.0,13.0,1,True,False,True
1,3,15.0,8.0292,1,False,True,False
1,1,28.0,35.5,1,True,False,True
0,3,8.0,4.215,5,False,False,True
1,3,38.0,4.483928571428572,7,False,False,True
0,1,19.0,43.833333333333336,6,True,False,True
0,1,40.0,27.7208,1,True,False,False
0,2,66.0,10.5,1,True,False,True
0,1,28.0,41.0854,2,True,False,False
0,1,42.0,26.0,2,True,False,True
0,3,21.0,8.05,1,True,False,True
0,3,18.0,6.0,3,False,False,True
1,3,14.0,5.62085,2,False,False,False
0,3,40.0,4.7375,2,False,False,True
0,2,27.0,10.5,2,False,False,True
1,2,3.0,10.3948,4,False,False,False
1,3,19.0,7.8792,1,False,True,False
0,3,18.0,8.9,2,False,False,True
0,3,7.0,6.614583333333333,6,True,False,True
0,3,21.0,7.8,1,True,False,True
1,1,49.0,38.3646,2,False,False,False
1,2,29.0,13.0,2,False,False,True
0,1,65.0,30.9896,2,True,False,False
1,2,21.0,10.5,1,False,False,True
0,3,28.5,7.2292,1,True,False,False
1,2,5.0,6.9375,4,False,False,True
0,3,11.0,5.8625,8,True,False,True
0,3,22.0,7.2292,1,True,False,False
0,1,45.0,41.7375,2,True,False,True
0,3,4.0,4.6499999999999995,6,True,False,True
1,2,29.0,10.5,1,False,False,True
0,3,19.0,8.1583,1,True,False,True
1,3,17.0,1.1321428571428571,7,False,False,True
0,3,26.0,2.8874999999999997,3,True,False,True
0,2,32.0,10.5,1,True,False,True
0,3,16.0,5.8625,8,False,False,True
0,2,21.0,73.5,1,True,False,True
0,3,26.0,7.2271,2,True,False,False
1,3,32.0,56.4958,1,True,False,True
0,3,25.0,7.65,1,True,False,True
1,2,0.83,9.666666666666666,3,True,False,True
1,3,30.0,12.475,1,False,False,True
0,3,22.0,9.0,1,True,False,True
1,3,29.0,9.5,1,True,False,True
0,1,28.0,47.1,1,True,False,True
1,2,17.0,10.5,1,False,False,True
1,3,33.0,3.9625,4,False,False,True
0,3,16.0,6.875,5,True,False,True
1,1,23.0,43.833333333333336,6,False,False,True
0,3,24.0,8.05,1,True,False,True
0,3,29.0,8.05,1,True,False,True
0,3,20.0,7.8542,1,True,False,True
0,1,46.0,30.5875,2,True,False,True
0,3,26.0,5.14375,4,True,False,True
0,3,59.0,7.25,1,True,False,True
0,1,71.0,34.6542,1,True,False,False
1,1,23.0,31.67915,2,True,False,False
1,2,34.0,11.5,2,False,False,True
0,2,34.0,13.0,2,True,False,True
0,3,28.0,7.8958,1,False,False,True
0,1,21.0,38.64375,2,True,False,True
0,3,33.0,8.6542,1,True,False,True
0,3,37.0,2.6416666666666666,3,True,False,True
0,3,28.0,7.8958,1,True,False,True
1,3,21.0,7.65,1,False,False,True
0,3,38.0,7.8958,1,True,False,True
0,1,47.0,52.0,1,True,False,True
0,3,14.5,7.2271,2,False,False,False
0,3,22.0,8.05,1,True,False,True
0,3,20.0,4.9125,2,False,False,True
0,3,17.0,14.4583,1,False,False,False
0,3,21.0,7.925,1,True,False,True
0,3,70.5,7.75,1,True,True,False
0,2,29.0,10.5,2,True,False,True
0,1,24.0,123.7604,2,True,False,False
0,3,2.0,4.4678571428571425,7,False,False,True
0,2,21.0,24.5,3,True,False,True
0,2,32.5,15.0354,2,True,False,False
1,2,32.5,13.0,1,False,False,True
0,1,54.0,38.64375,2,True,False,True
1,3,12.0,5.62085,2,True,False,False
1,3,24.0,7.1417,1,True,False,True
0,3,45.0,6.975,1,True,False,True
0,3,33.0,7.8958,1,True,False,False
0,3,20.0,7.05,1,True,False,True
0,3,47.0,7.25,2,False,False,True
1,2,29.0,13.0,2,False,False,True
0,2,25.0,13.0,1,True,False,True
0,2,23.0,15.0458,1,True,False,False
1,1,19.0,8.7611,3,False,False,True
0,1,37.0,26.55,2,True,False,True
0,3,16.0,9.2167,1,True,False,True
0,1,24.0,79.2,1,True,False,False
1,3,22.0,7.75,1,False,False,True
1,3,24.0,7.925,2,False,False,True
0,3,19.0,6.75,1,True,True,False
0,2,18.0,11.5,1,True,False,True
0,2,19.0,12.25,3,True,False,True
1,3,27.0,7.7958,1,True,False,True
0,3,9.0,6.875,5,False,False,True
0,2,36.5,8.666666666666666,3,True,False,True
0,2,42.0,13.0,1,True,False,True
0,2,51.0,12.525,1,True,False,True
1,1,22.0,33.3,2,False,False,True
0,3,55.5,8.05,1,True,False,True
0,3,40.5,4.833333333333333,3,True,False,True
0,1,51.0,30.6896,2,True,False,False
1,3,16.0,7.7333,1,False,True,False
0,3,30.0,8.05,1,True,False,True
0,3,44.0,8.05,2,True,False,True
1,2,40.0,15.75,1,False,False,True
0,3,26.0,7.775,1,True,False,True
0,3,17.0,8.6625,1,True,False,True
0,3,1.0,6.614583333333333,6,True,False,True
1,3,9.0,6.841666666666666,3,True,False,True
0,3,45.0,4.6499999999999995,6,False,False,True
0,3,28.0,56.4958,1,True,False,True
0,1,61.0,33.5,1,True,False,True
0,3,4.0,4.854166666666667,6,True,True,False
1,3,1.0,3.7111,3,False,False,True
0,3,21.0,7.925,1,True,False,True
0,1,56.0,30.6958,1,True,False,False
0,3,18.0,2.6180666666666665,3,True,False,True
0,1,50.0,28.7125,1,False,False,False
0,2,30.0,13.0,1,True,False,True
0,3,36.0,0.0,1,True,False,True
0,3,9.0,4.483928571428572,7,True,False,True
1,2,1.0,9.75,4,True,False,True
1,3,4.0,7.341666666666666,3,False,False,True
1,1,45.0,26.55,1,True,False,True
0,3,40.0,5.166666666666667,3,True,True,False
0,3,36.0,7.8958,1,True,False,True
1,2,32.0,13.0,1,False,False,True
0,2,19.0,13.0,1,True,False,True
1,3,19.0,3.9271,2,False,False,True
1,2,3.0,8.666666666666666,3,True,False,True
1,1,44.0,27.7208,1,False,False,False
1,1,58.0,146.5208,1,False,False,False
0,3,42.0,4.2021,2,True,False,True
0,2,24.0,13.0,1,False,False,True
0,3,28.0,9.5,1,True,False,True
0,3,34.0,6.4958,1,True,False,True
0,3,45.5,7.225,1,True,False,False
1,3,18.0,8.05,1,True,False,True
0,3,2.0,5.23125,2,False,False,True
0,3,32.0,7.925,2,True,False,True
1,3,26.0,18.7875,1,True,False,False
1,3,16.0,7.75,1,False,True,False
1,1,40.0,31.0,1,True,False,False
0,3,24.0,7.05,1,True,False,True
1,2,35.0,21.0,1,False,False,True
0,3,22.0,7.25,1,True,False,True
0,2,30.0,13.0,1,True,False,True
1,1,31.0,56.6375,2,False,False,False
1,3,27.0,7.925,1,False,False,True
0,2,42.0,13.5,2,True,False,True
1,1,32.0,76.2917,1,False,False,False
0,2,30.0,10.5,1,True,False,True
1,3,16.0,8.05,1,True,False,True
0,2,27.0,13.0,1,True,False,True
0,3,51.0,8.05,1,True,False,True
1,1,38.0,45.0,2,True,False,True
0,3,22.0,9.35,1,True,False,True
1,2,19.0,10.5,1,True,False,True
0,3,20.5,7.25,1,True,False,True
0,2,18.0,13.0,1,True,False,True
1,1,35.0,41.7375,2,False,False,True
0,3,29.0,7.775,1,True,False,True
0,2,59.0,13.5,1,True,False,True
1,3,5.0,4.483928571428572,7,False,False,True
0,2,24.0,10.5,1,True,False,True
0,2,44.0,13.0,2,True,False,True
1,2,8.0,8.75,3,False,False,True
0,2,19.0,10.5,1,True,False,True
0,2,33.0,12.275,1,True,False,True
0,2,29.0,10.5,1,True,False,True
0,3,22.0,7.125,1,True,False,True
0,3,30.0,7.225,1,True,False,False
0,1,44.0,30.0,3,True,True,False
0,3,25.0,7.775,1,False,False,True
1,2,24.0,4.833333333333333,3,False,False,True
1,1,37.0,17.518066666666666,3,True,False,True
0,2,54.0,13.0,2,True,False,True
0,3,29.0,3.4875000000000003,3,False,False,True
0,1,62.0,26.55,1,True,False,True
0,3,30.0,8.05,2,True,False,True
0,3,41.0,6.7375,3,False,False,True
1,3,29.0,5.081933333333333,3,False,False,False
1,1,30.0,86.5,1,False,False,True
1,1,35.0,512.3292,1,False,False,False
1,2,50.0,13.0,2,False,False,True
1,3,3.0,4.483928571428572,7,True,False,True
0,1,52.0,26.55,3,True,False,True
0,1,40.0,0.0,1,True,False,True
0,2,36.0,10.5,1,True,False,True
0,3,16.0,6.614583333333333,6,True,False,True
1,3,25.0,3.8875,2,True,False,True
1,1,58.0,76.73125,2,False,False,True
1,1,35.0,135.6333,1,False,False,True
1,3,25.0,0.0,1,True,False,True
1,2,41.0,9.75,2,False,False,True
0,1,37.0,14.85,2,True,False,False
1,1,63.0,38.97915,2,False,False,True
0,3,45.0,7.75,1,False,False,True
0,3,7.0,4.854166666666667,6,True,True,False
1,3,35.0,6.75,3,False,False,True
0,3,65.0,7.75,1,True,True,False
0,3,28.0,7.8542,1,True,False,True
0,3,16.0,9.5,1,True,False,True
1,3,19.0,8.05,1,True,False,True
0,3,33.0,8.6625,1,True,False,False
1,3,30.0,9.5,1,True,False,True
0,3,22.0,7.8958,1,True,False,True
1,2,42.0,13.0,1,True,False,True
1,3,22.0,7.75,1,False,True,False
1,1,26.0,78.85,1,False,False,True
1,1,19.0,45.5396,2,False,False,False
0,2,36.0,12.875,1,True,False,False
0,3,24.0,8.85,1,False,False,True
0,3,24.0,7.8958,1,True,False,True
0,3,23.5,7.2292,1,True,False,False
0,1,2.0,37.8875,4,False,False,True
1,1,50.0,123.7604,2,False,False,False
0,3,19.0,0.0,1,True,False,True
1,1,0.92,37.8875,4,True,False,True
1,1,17.0,54.45,2,False,False,False
0,2,30.0,12.0,2,True,False,False
1,1,30.0,56.9292,1,False,False,False
1,1,24.0,83.1583,1,False,False,False
1,1,18.0,52.475,5,False,False,False
0,2,26.0,8.666666666666666,3,False,False,True
0,3,28.0,7.8958,1,True,False,True
0,2,43.0,8.75,3,True,False,True
1,3,26.0,7.8542,1,False,False,True
1,2,24.0,13.0,2,False,False,True
0,2,54.0,14.0,1,True,False,True
1,1,31.0,54.95556666666667,3,False,False,True
1,1,40.0,44.833333333333336,3,False,False,False
0,3,22.0,7.25,1,True,False,True
0,3,27.0,7.8958,1,True,False,True
1,2,30.0,12.35,1,False,True,False
1,2,22.0,9.666666666666666,3,False,False,True
1,1,36.0,135.6333,1,False,False,False
0,3,61.0,6.2375,1,True,False,True
1,2,36.0,13.0,1,False,False,True
1,3,31.0,6.841666666666666,3,False,False,True
1,1,16.0,28.9896,2,False,False,False
0,1,45.5,28.5,1,True,False,True
0,1,38.0,76.73125,2,True,False,True
0,3,16.0,6.0,3,True,False,True
0,1,29.0,33.3,2,True,False,True
1,1,41.0,134.5,1,False,False,False
1,3,45.0,8.05,1,True,False,True
0,1,45.0,35.5,1,True,False,True
1,2,2.0,8.666666666666666,3,True,False,True
1,1,24.0,43.833333333333336,6,False,False,True
0,2,28.0,13.0,1,True,False,True
0,2,25.0,13.0,1,True,False,True
0,2,36.0,13.0,1,True,False,True
1,2,24.0,13.0,1,False,False,True
1,2,40.0,13.0,1,False,False,True
1,3,3.0,5.3,3,True,False,True
0,3,42.0,8.6625,1,True,False,True
0,3,23.0,9.225,1,True,False,True
0,3,15.0,2.409733333333333,3,True,False,False
0,3,25.0,8.9,2,True,False,True
0,3,28.0,9.5,1,True,False,True
1,1,22.0,27.5,2,False,False,True
0,2,38.0,13.0,1,False,False,True
0,3,40.0,4.6499999999999995,6,True,False,True
0,2,29.0,13.8604,2,True,False,False
0,3,45.0,7.2271,2,False,False,False
0,3,35.0,7.05,1,True,False,True
0,3,30.0,7.25,1,True,False,True
1,1,60.0,37.625,2,False,False,False
1,1,24.0,69.3,1,False,False,False
1,1,25.0,27.72085,2,True,False,False
0,3,18.0,3.2479,2,True,False,True
0,3,19.0,8.05,1,True,False,True
0,1,22.0,135.6333,1,True,False,False
0,3,3.0,4.215,5,False,False,True
1,3,22.0,7.25,1,False,False,True
0,1,27.0,70.5,3,True,False,False
0,3,20.0,4.0125,1,True,False,False
0,3,19.0,7.775,1,True,False,True
1,1,42.0,227.525,1,False,False,False
1,3,1.0,5.247233333333333,3,False,False,False
0,3,32.0,7.925,1,True,False,True
1,1,35.0,26.0,2,False,False,True
0,2,18.0,73.5,1,True,False,True
0,3,1.0,5.8625,8,True,False,True
1,2,36.0,13.0,1,False,False,True
1,2,17.0,12.0,1,False,False,False
1,1,36.0,30.0,4,True,False,True
1,3,21.0,7.7958,1,True,False,True
0,3,28.0,2.6416666666666666,3,True,False,True
1,1,23.0,56.6375,2,False,False,False
1,3,24.0,5.566666666666666,3,False,False,True
0,3,22.0,7.7958,1,True,False,True
0,3,31.0,7.8542,1,False,False,True
0,2,46.0,26.0,1,True,False,True
0,2,23.0,10.5,1,True,False,True
1,2,28.0,12.65,1,False,False,True
1,3,39.0,7.925,1,True,False,True
0,3,26.0,8.05,1,True,False,True
0,3,21.0,4.9125,2,False,False,True
0,3,28.0,7.925,2,True,False,True
0,3,20.0,8.6625,1,False,False,True
0,2,34.0,10.5,2,True,False,True
0,3,51.0,7.75,1,True,False,True
1,2,3.0,6.25,3,True,False,True
0,3,21.0,7.775,1,True,False,True
1,1,33.0,45.0,2,False,True,False
1,3,44.0,7.925,1,True,False,True
1,2,34.0,10.833333333333334,3,False,False,True
1,2,18.0,4.333333333333333,3,False,False,True
0,2,30.0,13.0,1,True,False,True
0,3,10.0,8.049999999999999,3,False,False,True
0,3,21.0,7.7333,1,True,True,False
0,3,29.0,7.875,1,True,False,True
0,3,28.0,4.8,3,False,False,True
0,3,18.0,6.7375,3,True,False,True
1,2,28.0,13.0,2,False,False,True
1,2,19.0,26.0,1,False,False,True
1,3,32.0,8.05,1,True,False,True
1,1,28.0,26.55,1,True,False,True
1,2,42.0,13.0,2,False,False,True
0,3,17.0,7.125,1,True,False,True
0,1,50.0,27.95,2,True,False,True
1,1,14.0,30.0,4,False,False,True
0,3,21.0,6.875,5,False,False,True
1,2,24.0,3.125,6,False,False,True
0,1,64.0,43.833333333333336,6,True,False,True
0,2,31.0,10.5,1,True,False,True
1,2,45.0,8.75,3,False,False,True
